city,country_code
MOMPOX                        ,CO
MONGUA                        ,CO
MONIQUIRA                     ,CO
MONITOS                       ,CO
MOÑITOS                       ,CO
MONTELIBANO                   ,CO
MONTENEGRO                    ,CO
MONTERIA                      ,CO
MONTERÍA                      ,CO
MONTERREY                     ,CO
MORALES                       ,CO
MORELIA                       ,CO
MOSQUERA                      ,CO
MURILLO                       ,CO
MURINDO                       ,CO
MUTATA                        ,CO
MUZO                          ,CO
NARIÑO                        ,CO
NATAGA                        ,CO
NATAGAIMA                     ,CO
NECHI                         ,CO
NECOCLI                       ,CO
NEIRA                         ,CO
NEIVA                         ,CO
NEMOCON                       ,CO
NILO                          ,CO
NOBSA                         ,CO
NOCAIMA                       ,CO
NORCASIA                      ,CO
NOROSI                        ,CO
NORTE DE SANTANDER            ,CO
NOVITA                        ,CO
NUEVA GRANADA                 ,CO
NUEVO COLON                   ,CO
NUNCHIA                       ,CO
NUQUI                         ,CO
OBANDO                        ,CO
OCAMONTE                      ,CO
OCANA                         ,CO
OCAÑA                         ,CO
OIBA                          ,CO
ONZAGA                        ,CO
OPORAPA                       ,CO
ORITO                         ,CO
OROCUE                        ,CO
ORTEGA                        ,CO
OTANCHE                       ,CO
PACHAVITA                     ,CO
PACHO                         ,CO
PACORA                        ,CO
PADILLA                       ,CO
PAEZ                          ,CO
PAICOL                        ,CO
PAILITAS                      ,CO
PAIME                         ,CO
PAIPA                         ,CO
PALERMO                       ,CO
PALESTINA                     ,CO
PALMAR DE VARELA              ,CO
PALMIRA                       ,CO
PALOCABILDO                   ,CO
PAMPLONA                      ,CO
PANDI                         ,CO
PARAMO                        ,CO
PASACABALLOS                  ,CO
PASCA                         ,CO
PASTO                         ,CO
PATIOS                        ,CO
PAYA                          ,CO
PAZ DE ARIPORO                ,CO
PEDRAZA                       ,CO
PELAYA                        ,CO
PENSILVANIA                   ,CO
PEREIRA                       ,CO
PESCA                         ,CO
PIAMONTE                      ,CO
PIEDECUESTA                   ,CO
PIEDRAS                       ,CO
PIENDAMO                      ,CO
PIJAO                         ,CO
PIJIÑO DEL CARMEN             ,CO
PINCHOTE                      ,CO
PINILLOS                      ,CO
PIOJO                         ,CO
PITAL                         ,CO
PITALITO                      ,CO
PIVIJAY                       ,CO
PLANADAS                      ,CO
PLANETA RICA                  ,CO
PLATO                         ,CO
POLONUEVO                     ,CO
PONEDERA                      ,CO
POPAYAN                       ,CO
PORE                          ,CO
POTOSI                        ,CO
PRADERA                       ,CO
PRADO                         ,CO
PROVIDENCIA                   ,CO
PUEBLO BELLO                  ,CO
PUEBLO NUEVO                  ,CO
PUEBLO RICO                   ,CO
PUENTE NACIONAL               ,CO
PUERRES                       ,CO
PUERTO ASIS                   ,CO
PUERTO BERRIO                 ,CO
PUERTO BOYACA                 ,CO
PUERTO CARREÑO                ,CO
PUERTO COLOMBIA               ,CO
PUERTO GAITAN                 ,CO
PUERTO INIRIDA                ,CO
PUERTO LEGUIZAMO              ,CO
PUERTO LLERAS                 ,CO
PUERTO LOPEZ                  ,CO
PUERTO NARE                   ,CO
PUERTO NARIÑO                 ,CO
PUERTO RICO                   ,CO
PUERTO SALGAR                 ,CO
PUERTO SANTANDER              ,CO
PUERTO TEJADA                 ,CO
PUERTO TRIUNFO                ,CO
PUERTO WILCHES                ,CO
PUPIALES                      ,CO
PURACE                        ,CO
PURIFICACION                  ,CO
PUTUMAYO                      ,CO
QUETAME                       ,CO
QUIBDO                        ,CO
QUIMBAYA                      ,CO
QUINCHIA                      ,CO
QUIPILE                       ,CO
RAGONVALIA                    ,CO
RAMIRIQUI                     ,CO
RAQUIRA                       ,CO
REGIDOR                       ,CO
REMEDIOS                      ,CO
REMOLINO                      ,CO
REPELON                       ,CO
RESTREPO                      ,CO
RETIRO                        ,CO
RICAURTE                      ,CO
RIO DE ORO                    ,CO
RIO VIEJO                     ,CO
RIOFRIO                       ,CO
RIOHACHA                      ,CO
RIONEGRO                      ,CO
RIOSUCIO                      ,CO
RISARALDA                     ,CO
RIVERA                        ,CO
ROLDANILLO                    ,CO
RONCESVALLES                  ,CO
ROVIRA                        ,CO
ROZO                          ,CO
SABANA DE TORRES              ,CO
SABANAGRANDE                  ,CO
SABANALARGA                   ,CO
SABANAS DE SAN ANGEL          ,CO
SABANETA                      ,CO
SABOYA                        ,CO
SAHAGUN                       ,CO
SALADOBLANCO                  ,CO
SALAMINA                      ,CO
SALDAÑA                       ,CO
SALENTO                       ,CO
SALGAR                        ,CO
SAMACA                        ,CO
SAMANA                        ,CO
SAMANIEGO                     ,CO
SAN AGUSTIN                   ,CO
SAN ALBERTO                   ,CO
SAN ANDRES                    ,CO
SAN ANDRES DE SOTAVENTO       ,CO
SAN ANDRES DE TUMACO          ,CO
SAN ANDRES ISLAS              ,CO
SAN ANTERO                    ,CO
SAN ANTONIO                   ,CO
SAN ANTONIO DEL TEQUENDAMA    ,CO
SAN BENITO ABAD               ,CO
SAN BERNARDO DEL VIENTO       ,CO
SAN CALIXTO                   ,CO
SAN CARLOS                    ,CO
SAN CAYETANO                  ,CO
SAN CRISTOBAL                 ,CO
SAN DIEGO                     ,CO
SAN ESTANISLAO                ,CO
SAN FRANCISCO                 ,CO
SAN GIL                       ,CO
SAN JACINTO                   ,CO
SAN JERONIMO                  ,CO
SAN JOSE                      ,CO
SAN JOSE DE PARE              ,CO
SAN JOSE DE TOLUVIEJO         ,CO
SAN JOSE DEL GUAVIARE         ,CO
SAN JOSE DEL NUS              ,CO
SAN JUAN DE ARAMA             ,CO
SAN JUAN DE RIOSECO           ,CO
SAN JUAN DE URABA             ,CO
SAN JUAN DEL CESAR            ,CO
SAN JUAN NEPOMUCENO           ,CO
SAN LUIS                      ,CO
SAN LUIS DE CUBARRAL          ,CO
SAN LUIS DE GACENO            ,CO
SAN LUIS DE PALENQUE          ,CO
SAN LUIS DE SINCE             ,CO
SAN MARCOS                    ,CO
SAN MARTIN                    ,CO
SAN MARTIN DE LOBA            ,CO
SAN MIGUEL                    ,CO
SAN ONOFRE                    ,CO
SAN PABLO                     ,CO
SAN PABLO DE BORBUR           ,CO
SAN PEDRO                     ,CO
SAN PEDRO DE LOS MILAGROS     ,CO
