"name","orig_id","streetAddress","state","location"
"GCB GHANA","AI1181583","Box 5288 Accra North","Greater Accra","5.582692,-0.224065"
"SBG NORTH INDUSTRIAL AREA","AI1400099","Accra Industrial Area","Greater Accra","5.582692,-0.224065"
"GHANA COMMERCIAL BANK BANTAMA","AI1181219","Gcb Near Okomfo Anokye Hospital","Ashanti","5.572326,-0.215941"
"GHANA COMMERCIAL BANK HWIDIEM","AI1181396","Gcb Near The Market Main Roundabout","Brong Ahafo","5.572326,-0.215941"
"GHANA COMMERCIAL BANK PEKI","AI1180515","Gcb Near The Community Centre","Volta","5.572326,-0.215941"
"GHANA COMMERCIAL BANK KASOA MARKET","AI1180241","Gcb On The Bawjiase Road","Greater Accra","5.572326,-0.215941"
"PRUDENTIAL BANK LIMITED","AI1090382","Property No.2 Lyndy Street","Greater Accra","5.637886,-0.161203"
"NIB GHANA","AI1070504","Box 3726","Greater Accra","5.637887,-0.161203"
"FBNBANK OSU BRANCH","AI1310240","Opposite Frankies Restaurant O","OSU","5.561205,-0.181918"
"GUARANTY TRUST BANK  GHANA  LT","AI1100205","Apenkwa Lapaz","Greater Accra","5.609292,-0.229689"
"GHANA POST COMPANY","AI1000512","Accra North Post Office","Greater Accra","5.572227,-0.216495"
"AGRICULTURAL DEV BANK","AI1003977","Lapaz Branch","Greater Accra","5.612321,-0.229415"
"CONSOLIDATED BANK","AI1360773","Oxford Street Mall","Greater Accra","5.560352,-0.182246"
"UBA GHANA","AI1170132","Plot No 382a Lagos Avenue East Legon","Greater Accra","5.640305,-0.162813"
"N I A BRANCH","AI1070450","Box 3726","Greater Accra","5.579062,-0.223359"
"GHANA COMMERCIAL BANK KANESHIE IND  AREA","AI1180175","Gcb North Industrial Area","Greater Accra","5.578518,-0.223403"
"OMNIBSIC BANK","AI1300065","Dadeban Rd Adj Melcom Plus","Greater Accra","5.586232,-0.22778"
"SBG SPINTEX","AI1400077","Opposite Papaye Restaurant","Greater Accra","5.559608,-0.182023"
"CALVARY BAPTIST","AI1046778","5 Akasanoma Street, Adabraka","Greater Accra","5.56776,-0.213433"
"PRUDENTIAL BANK","AI1090436","University Of Ghana Legon","Greater Accra","5.648394,-0.189307"
"AHAFO ANO PREMIER MANKRASO","AI1082352","Behind Ncce Office","Ashanti","5.561679,-0.202521"
"CAL BANK ACHIMOTA BRANCH","AI1010203","Ahimota Shell Filling Station","Greater Accra","5.618,-0.229723"
"SBG ACCRA MAIN","AI1400022","Valco Trust House","Greater Accra","5.560095,-0.19857"
